,text,intent,labels
7652,give:O 0:B-rating_value out:O of:O 6:B-best_rating points:B-rating_unit to:O this:B-object_select album:B-object_type ," RateBook
",4
6273,Where:O can:O I:O find:O the:O picture:B-object_type the:O Japanese:B-object_name Lovesong:I-object_name near:O me?:O ," SearchCreativeWork
",5
4619,What:O Howards:B-movie_name End:I-movie_name cinema:B-object_location_type is:O near?:O ," SearchScreeningEvent
",6
7862,Which:O animated:B-movie_type movies:I-movie_type are:O playing:O in:B-spatial_relation the:I-spatial_relation neighbourhood:I-spatial_relation ?:O ," SearchScreeningEvent
",6
8925,what:O is:O the:O Bolsa:B-geographic_poi Chica:I-geographic_poi State:I-geographic_poi Beach:I-geographic_poi forecast:O for:O foggy:B-condition_description conditions:O ," GetWeather
",2
128,rate:O this:O current:B-object_select saga:B-object_part_of_series_type 3:B-rating_value out:O of:O 6:B-best_rating points:B-rating_unit ," RateBook
",4
8704,show:O weather:O forecast:O in:O Kenya:B-country ," GetWeather
",2
5999,Give:O four:B-rating_value points:B-rating_unit to:O Leven:B-object_name Thumps:I-object_name and:I-object_name the:I-object_name Gateway:I-object_name to:I-object_name Foo:I-object_name ," RateBook
",4
6045,I:O want:O to:O give:O Dressed:B-object_name To:I-object_name Kill:I-object_name a:O one:B-rating_value ," RateBook
",4
1948,play:O the:O latest:B-sort Thelma:B-artist Aoyama:I-artist ," PlayMusic
",3
1300,Play:O some:O showtunes:B-genre music.:O ," PlayMusic
",3
1242,add:O Anthony:B-artist Hamilton:I-artist to:O my:B-playlist_owner list:O Women:B-playlist of:I-playlist Hip:I-playlist Hop:I-playlist ," AddToPlaylist
",0
8365,will:O you:O put:O this:O song:B-music_item onto:O Women:B-playlist of:I-playlist Electronic:I-playlist ," AddToPlaylist
",0
6305,my:B-party_size_description step:I-party_size_description aunt:I-party_size_description and:I-party_size_description I:I-party_size_description want:O to:O go:O cheese:B-served_dish fries:I-served_dish at:O the:O tavern:B-restaurant_type ," BookRestaurant
",1
5164,give:O Heartland:B-object_name chronicle:B-object_part_of_series_type four:B-rating_value points:B-rating_unit ," RateBook
",4
6534,Rate:O this:B-object_select series:B-object_part_of_series_type 0:B-rating_value of:O 6:B-best_rating stars:B-rating_unit ," RateBook
",4
2055,Find:O the:O American:B-object_name Journal:I-object_name of:I-object_name Sports:I-object_name Medicine:I-object_name picture:B-object_type ," SearchCreativeWork
",5
492,What:O are:O the:O current:O movie:B-object_type schedules:I-object_type ?:O ," SearchScreeningEvent
",6
1971,play:O scott:B-artist la:I-artist rock:I-artist from:O Stella:B-album on:O Slacker:B-service ," PlayMusic
",3
8378,add:O The:B-entity_name Greyest:I-entity_name of:I-entity_name Blue:I-entity_name Skies:I-entity_name in:O Indie:B-playlist Español:I-playlist my:B-playlist_owner playlist:O ," AddToPlaylist
",0
2052,Search:O for:O the:O television:B-object_type show:I-object_type Me:B-object_name and:I-object_name my:I-object_name guitar:I-object_name ," SearchCreativeWork
",5
2983,"How:O cold:B-condition_temperature is:O it:O in:O Cargray:B-city ,:O Argentina:B-country ?:O "," GetWeather
",2
7180,Play:O The:B-album Eternal:I-album by:O Juju:B-artist Mob:I-artist on:O Vimeo:B-service .:O ," PlayMusic
",3
1696,I'm:O trying:O to:O find:O the:O game:B-object_type called:O Give:B-object_name Me:I-object_name My:I-object_name Remote:I-object_name .:O ," SearchCreativeWork
",5
7307,Will:O it:O be:O foggy:B-condition_description in:O 1:B-timeRange hour:I-timeRange and:I-timeRange 1:I-timeRange minute:I-timeRange from:I-timeRange now:I-timeRange in:O OK:B-state ," GetWeather
",2
4777,Rate:O the:O previous:B-object_select essay:B-object_type 5:B-rating_value out:O of:O 6:B-best_rating ," RateBook
",4
5799,How:O chilly:B-condition_temperature will:O it:O be:O at:O 09:32:06:B-timeRange am:I-timeRange in:O Moncove:B-geographic_poi Lake:I-geographic_poi State:I-geographic_poi Park:I-geographic_poi ?:O ," GetWeather
",2
9007,"Book:O a:O reservation:O for:O leticia,:B-party_size_description melva:I-party_size_description and:I-party_size_description twila:I-party_size_description edwards:I-party_size_description at:O Glassy:B-restaurant_name Junction:I-restaurant_name for:O five:B-timeRange pm:I-timeRange within:B-spatial_relation the:I-spatial_relation same:I-spatial_relation area:I-spatial_relation of:O our:B-poi secondary:I-poi residence:I-poi "," BookRestaurant
",1
2995,play:O some:O 2002:B-year music:O ," PlayMusic
",3
4797,add:O tune:B-music_item this:B-playlist is:I-playlist puccini:I-playlist to:O my:B-playlist_owner playlist:O ," AddToPlaylist
",0
586,Will:O it:O be:O freezing:B-condition_temperature in:O 5:B-timeRange weeks:I-timeRange from:I-timeRange now:I-timeRange in:O NH:B-state ," GetWeather
",2
1771,I:O need:O some:O Hardcore:B-genre Hip:I-genre Hop:I-genre ," PlayMusic
",3
5863,play:O the:O greatest:B-sort james:B-artist yorkston:I-artist song:B-music_item ," PlayMusic
",3
1519,rate:O this:O book:B-object_type titled:O House:B-object_name of:I-object_name Dolls:I-object_name three:B-rating_value out:O of:O 6:B-best_rating stars:B-rating_unit ," RateBook
",4
2027,add:O rob:B-artist tyner:I-artist to:O betsy's:B-playlist_owner We:B-playlist Everywhere:I-playlist ," AddToPlaylist
",0
6839,what:O is:O the:O Coulee:B-city City:I-city MT:B-state forecast:O ," GetWeather
",2
2725,Find:O Live:B-object_name at:I-object_name Bonnaroo:I-object_name .:O ," SearchCreativeWork
",5
2505,add:O artist:B-music_item to:O my:B-playlist_owner playlist:O i:B-playlist love:I-playlist my:I-playlist 80's:I-playlist rollerdisco:I-playlist ," AddToPlaylist
",0
246,Put:O Strange:B-entity_name Days:I-entity_name onto:O the:O Fusion:B-playlist Fest:I-playlist playlist.:O ," AddToPlaylist
",0
7177,I:O want:O to:O put:O Paul:B-artist Young:I-artist onto:O all:B-playlist new:I-playlist all:I-playlist now:I-playlist .:O ," AddToPlaylist
",0
5795,add:O track:B-music_item to:O my:B-playlist_owner playlist:O a:B-playlist sudden:I-playlist rainstorm:I-playlist ," AddToPlaylist
",0
7676,What:O is:O the:O weather:O now:B-timeRange in:O James:B-city City:I-city ?:O ," GetWeather
",2
3386,What's:O the:O forecast:O for:O Wendell:B-city ?:O ," GetWeather
",2
5010,Rate:O The:B-object_name Life:I-object_name and:I-object_name Loves:I-object_name of:I-object_name a:I-object_name She-Devil:I-object_name two:B-rating_value stars:B-rating_unit ," RateBook
",4
527,What:O is:O the:O movie:B-object_type schedule:I-object_type near:O me?:O ," SearchScreeningEvent
",6
8542,Give:O me:O a:O forecast:O for:O Carol:B-city City:I-city ," GetWeather
",2
7732,"What:O is:O the:O weather:O supposed:O to:O be:O like:O on:O Sep.:B-timeRange 20:I-timeRange in:O Maltby:B-city ,:O Russia:B-country "," GetWeather
",2
7685,I:O want:O to:O watch:O Uproar:B-movie_name in:I-movie_name the:I-movie_name Studio:I-movie_name at:O the:O nearest:B-spatial_relation cinema:B-object_location_type ," SearchScreeningEvent
",6
4750,Is:O Race:B-movie_name Gurram:I-movie_name playing:O ," SearchScreeningEvent
",6
3522,add:O this:O clint:B-artist mansell:I-artist song:B-music_item to:O latin:B-playlist pop:I-playlist classics:I-playlist ," AddToPlaylist
",0
1027,Show:O me:O the:O work:O titled:O The:B-object_name Perfect:I-object_name Gentleman:I-object_name which:O is:O a:O song:B-object_type ," SearchCreativeWork
",5
3444,Can:O you:O find:O me:O The:B-object_name Real:I-object_name McCoy:I-object_name novel:B-object_type ?:O ," SearchCreativeWork
",5
4419,Play:O the:O TV:B-object_type series:I-object_type Heart:B-object_name of:I-object_name Gold:I-object_name ," SearchCreativeWork
",5
2695,Start:O playing:O my:O Disney:B-playlist playlist.:O ," PlayMusic
",3
12,Play:O the:O last:B-sort sound:B-music_item track:I-music_item by:O Soko:B-artist from:O around:O 1975:B-year ," PlayMusic
",3
2509,What:O will:O the:O the:O weather:O be:O like:O close:B-spatial_relation to:O Bailey's:B-city Crossroads:I-city at:O 05:00:34:B-timeRange am:I-timeRange ?:O ," GetWeather
",2
4021,Find:O the:O schedule:B-object_type for:O Without:B-movie_name Witness:I-movie_name twenty:B-timeRange two:I-timeRange hours:I-timeRange from:I-timeRange now:I-timeRange .:O ," SearchScreeningEvent
",6
4253,what:O is:O the:O weather:O starting:O at:O 11:47:52:B-timeRange for:O South:B-country Africa:I-country ," GetWeather
",2
1591,Add:O the:O album:B-music_item to:O my:B-playlist_owner Wild:B-playlist Country:I-playlist playlist.:O ," AddToPlaylist
",0
1729,Show:O me:O the:O game:B-object_type English:B-object_name Freakbeat:I-object_name ," SearchCreativeWork
",5
29,Rate:O this:B-object_select textbook:B-object_type four:B-rating_value of:O 6:B-best_rating points:B-rating_unit ," RateBook
",4
8737,open:O Itunes:B-service and:O play:O Kenny:B-artist Cox:I-artist most:B-sort popular:I-sort concerto:B-music_item ," PlayMusic
",3
7422,Add:O autry:B-artist inman:I-artist to:O my:B-playlist_owner Hanging:B-playlist Out:I-playlist and:I-playlist Relaxing:I-playlist playlist.:O ," AddToPlaylist
",0
2411,What:O weather:O will:O HI:B-state have:O will:O there:O be:O hail:B-condition_description twenty:B-timeRange one:I-timeRange minutes:I-timeRange from:I-timeRange now:I-timeRange ," GetWeather
",2
8200,Can:O you:O put:O a:O song:B-music_item by:O jessica:B-artist mauboy:I-artist on:O my:B-playlist_owner playlist:O entitled:O a:B-playlist sudden:I-playlist rainstorm:I-playlist ," AddToPlaylist
",0
5468,Play:O the:O music:O of:O Aphex:B-artist Twin:I-artist 's:O good:B-sort Album:B-music_item ," PlayMusic
",3
224,Play:O a:O popular:B-sort ballad:B-music_item by:O Amanda:B-artist ," PlayMusic
",3
9067,I:O want:O to:O rate:O my:O current:B-object_select book:B-object_type three:B-rating_value out:O of:O 6:B-best_rating points:B-rating_unit ," RateBook
",4
6165,I'd:O like:O to:O go:O to:O a:O restaurant:B-restaurant_type in:O French:B-country Polynesia:I-country ," BookRestaurant
",1
3219,Rate:O Homicide::B-object_name A:I-object_name Year:I-object_name on:I-object_name the:I-object_name Killing:I-object_name Streets:I-object_name five:B-rating_value stars:B-rating_unit ," RateBook
",4
2081,give:O me:O the:O movie:B-object_type schedule:I-object_type for:O animated:B-movie_type movies:I-movie_type showing:O in:B-spatial_relation the:I-spatial_relation neighborhood:I-spatial_relation ," SearchScreeningEvent
",6
1294,Play:O music:O by:O Sarah:B-artist Connor:I-artist ," PlayMusic
",3
6219,Add:O a:O track:B-music_item to:O my:B-playlist_owner girls':B-playlist night:I-playlist playlist.:O ," AddToPlaylist
",0
5570,is:O hail:B-condition_description in:O the:O weather:O forecast:O for:O Monterey:B-geographic_poi Bay:I-geographic_poi National:I-geographic_poi Marine:I-geographic_poi Sanctuary:I-geographic_poi ," GetWeather
",2
6125,Can:O you:O tell:O me:O the:O weather:O forecast:O for:O Denmark:B-city ," GetWeather
",2
6649,show:O weather:O forecast:O in:O West:B-city Crossett:I-city Luxembourg:B-country in:B-timeRange fourteen:I-timeRange minutes:I-timeRange ," GetWeather
",2
4247,rate:O the:O current:B-object_select essay:B-object_type a:O one:B-rating_value ," RateBook
",4
7601,play:O The:B-object_name New:I-object_name Noise:I-object_name Theology:I-object_name E.P.:I-object_name ," SearchCreativeWork
",5
5296,Play:O Grabsteinland:B-album I:I-album by:O Doctor:B-artist Fink:I-artist on:O slacker:B-service radio:O ," PlayMusic
",3
7430,play:O Who:B-track Do:I-track You:I-track Think:I-track You:I-track Are:I-track by:O Magnifico:B-artist with:O spotify:B-service ," PlayMusic
",3
6416,i:O want:O to:O see:O Return:B-movie_name to:I-movie_name Yesterday:I-movie_name ," SearchScreeningEvent
",6
473,What's:O the:O forecast:O for:O nearby:B-spatial_relation the:O current:B-current_location position:I-current_location ?:O ," GetWeather
",2
8628,Please:O find:O the:O movie:B-object_type Dancing:B-object_name Girl:I-object_name ," SearchCreativeWork
",5
1928,Find:O me:O The:B-object_name River:I-object_name of:I-object_name Love:I-object_name saga:B-object_type ," SearchCreativeWork
",5
5550,Find:O the:O movie:B-object_type CURL:B-object_name ," SearchCreativeWork
",5
4055,Where:O can:O I:O find:O the:O painting:B-object_type RSS:B-object_name tracking:I-object_name ," SearchCreativeWork
",5
4396,Add:O the:O singer:O Damon:B-artist Johnson:I-artist album:B-music_item to:O my:B-playlist_owner African:B-playlist Heat:I-playlist playlists:O ," AddToPlaylist
",0
682,show:O creative:O picture:B-object_type of:O Wonderful:B-object_name Town:I-object_name ," SearchCreativeWork
",5
7538,I:O need:O a:O list:O of:O Mann:B-location_name Theatres:I-location_name films:B-movie_type that:O are:O playing:O ," SearchScreeningEvent
",6
3071,Play:O The:B-album Cross:I-album And:I-album The:I-album Crucible:I-album by:O Angela:B-artist Au:I-artist Man:I-artist Sze:I-artist on:O Google:B-service Music:I-service ," PlayMusic
",3
329,Add:O A:B-entity_name Gate:I-entity_name Through:I-entity_name Bloodstained:I-entity_name Mirrors:I-entity_name to:O feelin':B-playlist good:I-playlist playlist:O ," AddToPlaylist
",0
3894,When:O is:O Bless:B-movie_name the:I-movie_name Child:I-movie_name playing:O at:O the:O movie:B-object_location_type theatre:I-object_location_type ," SearchScreeningEvent
",6
5758,Add:O Hanging:B-entity_name On:I-entity_name to:O my:B-playlist_owner just:B-playlist dance:I-playlist by:I-playlist aftercluv:I-playlist playlist.:O ," AddToPlaylist
",0
5700,Find:O me:O a:O table:O for:O me:B-party_size_description and:I-party_size_description my:I-party_size_description grandkid:I-party_size_description in:O Union:B-restaurant_name Square:I-restaurant_name Cafe:I-restaurant_name ," BookRestaurant
",1
7276,Show:O me:O the:O The:B-object_name Defenestration:I-object_name of:I-object_name Ermintrude:I-object_name Inch:I-object_name TV:B-object_type series:I-object_type ," SearchCreativeWork
",5
7190,add:O olympia:B-entity_name 1959:I-entity_name to:O from:B-playlist the:I-playlist delta:I-playlist to:I-playlist chicago:I-playlist ," AddToPlaylist
",0
6000,I:O want:O to:O read:O the:O book:B-object_type The:B-object_name Minotaur:I-object_name ," SearchCreativeWork
",5
6405,Give:O Whispers:B-object_name in:I-object_name the:I-object_name Graveyard:I-object_name a:O five:B-rating_value .:O ," RateBook
",4
4289,add:O saxophone:B-entity_name supremacy:I-entity_name to:O ofelia's:B-playlist_owner calm:B-playlist before:I-playlist the:I-playlist storm:I-playlist playlist:O ," AddToPlaylist
",0
1480,Rate:O the:O current:B-object_select essay:B-object_type 0:B-rating_value .:O ," RateBook
",4
2939,Find:O a:O novel:B-object_type called:O Testing:B-object_name Anywhere:I-object_name .:O ," SearchCreativeWork
",5
4966,book:O City:B-restaurant_name Tavern:I-restaurant_name in:O Poland:B-country ," BookRestaurant
",1
6567,Show:O me:O the:O work:O The:B-object_name Catholic:I-object_name Weekly:I-object_name ," SearchCreativeWork
",5
7608,What's:O the:O weather:O in:O HI:B-state ," GetWeather
",2
5163,Fine:O a:O movie:B-object_type schedule:I-object_type .:O ," SearchScreeningEvent
",6
3582,play:O wendy:B-artist james:I-artist from:O the:O fifties:B-year ," PlayMusic
",3
2016,What:O type:O of:O movie:B-object_type is:O Houston:B-object_name Press:I-object_name ?:O ," SearchCreativeWork
",5
6585,"Play:O the:O playlist,:O A:B-playlist Mis:I-playlist Niños:I-playlist de:I-playlist 30:I-playlist .:O "," PlayMusic
",3
7539,Weather:O at:O breakfast:B-timeRange in:O Montana:B-state ," GetWeather
",2
5707,listen:O to:O ballad:B-music_item songs:O from:O 1999:B-year ," PlayMusic
",3
5818,Put:O this:O song:B-music_item on:O legendary:B-playlist guitar:I-playlist solos:I-playlist ," AddToPlaylist
",0
7200,Let's:O listen:O to:O the:O most:B-sort popular:I-sort Marty:B-artist Friedman:I-artist songs:O on:O Zvooq:B-service .:O ," PlayMusic
",3
1938,What:O will:O the:O weather:O be:O in:O Croatia:B-country ?:O ," GetWeather
",2
6535,book:O for:O 8:B-timeRange AM:I-timeRange in:O Massachusetts:B-state for:O 1:B-party_size_number ," BookRestaurant
",1
2893,find:O the:O trailer:B-object_type Platinum:B-object_name In:I-object_name Da:I-object_name Ghetto:I-object_name ," SearchCreativeWork
",5
8752,rate:O Animals:B-object_name of:I-object_name the:I-object_name Bible:I-object_name one:B-rating_value of:O 6:B-best_rating points:B-rating_unit ," RateBook
",4
4813,I:O give:O a:O 4:B-rating_value to:O 3:B-object_name Willows::I-object_name The:I-object_name Sisterhood:I-object_name Grows:I-object_name .:O ," RateBook
",4
6362,Add:O Don:B-entity_name and:I-entity_name Sherri:I-entity_name to:O my:B-playlist_owner Meditate:B-playlist to:I-playlist Sounds:I-playlist of:I-playlist Nature:I-playlist playlist:O ," AddToPlaylist
",0
4655,"I:O need:O a:O table:O at:O a:O restaurant:B-restaurant_type serving:O carne:B-served_dish pizzaiola:I-served_dish for:O tamra:B-party_size_description davis,:I-party_size_description viola:I-party_size_description and:I-party_size_description dorothea:I-party_size_description "," BookRestaurant
",1
908,Show:O me:O movie:B-object_type schedules:I-object_type ," SearchScreeningEvent
",6
5944,put:O Johnny:B-artist Wakelin:I-artist on:O my:B-playlist_owner té:B-playlist para:I-playlist tres:I-playlist lis:O ," AddToPlaylist
",0
8569,I:O would:O give:O this:O current:B-object_select novel:B-object_type 4:B-rating_value points:B-rating_unit ," RateBook
",4
2783,List:O movie:B-object_type schedule:I-object_type ," SearchScreeningEvent
",6
1430,rate:O this:B-object_select textbook:B-object_type a:O one:B-rating_value ," RateBook
",4
827,What:O animated:B-movie_type movies:I-movie_type are:O playing:O nearby:B-spatial_relation ," SearchScreeningEvent
",6
3766,Play:O music:O on:O Deezer:B-service by:O Imogen:B-artist Heap:I-artist ," PlayMusic
",3
1465,I'd:O like:O to:O eat:O at:O the:O Original:B-restaurant_name Spanish:I-restaurant_name Kitchen:I-restaurant_name in:O North:B-state Carolina:I-state ," BookRestaurant
",1
9073,add:O this:O track:B-music_item to:O tameka's:B-playlist_owner dance:B-playlist playlist:O ," AddToPlaylist
",0
6361,On:O 2/25/2025:B-timeRange will:O it:O be:O hot:B-condition_temperature in:O Holstein:B-city ," GetWeather
",2
6828,Forecast:O for:O 02:22:B-timeRange pm:I-timeRange Maldives:B-country ," GetWeather
",2
731,Find:O a:O saga:B-object_type called:O The:B-object_name Devil:I-object_name Went:I-object_name Down:I-object_name to:I-object_name Georgia:I-object_name .:O ," SearchCreativeWork
",5
5394,Give:O Home:B-object_name from:I-object_name the:I-object_name Hill:I-object_name a:O 3:B-rating_value ," RateBook
",4
1215,I:O want:O to:O eat:O in:B-timeRange 19:I-timeRange hours:I-timeRange at:O NM:B-state ," BookRestaurant
",1
3088,rate:O this:B-object_select textbook:B-object_type 5:B-rating_value stars:B-rating_unit ," RateBook
",4
9063,play:O a:O movement:B-music_item from:O top-20:B-sort 1983:B-year by:O Baruch:B-artist Chait:I-artist ," PlayMusic
",3
2682,Is:O it:O forecast:O to:O be:O chillier:B-condition_temperature around:B-spatial_relation Texas:B-state ?:O ," GetWeather
",2
5032,Rate:O The:B-object_name Plot:I-object_name to:I-object_name Save:I-object_name Socrates:I-object_name one:B-rating_value stars:B-rating_unit ," RateBook
",4
6872,ad:O artist:B-music_item to:O sxsw:B-playlist latin:I-playlist my:B-playlist_owner playlist:O ," AddToPlaylist
",0
6093,will:O the:O weather:O be:O colder:B-condition_temperature in:O Naguabo:B-city four:B-timeRange minutes:I-timeRange from:I-timeRange now:I-timeRange ," GetWeather
",2
5989,"Reserve:O a:O spot:O at:O indoor:B-facility restaurant:B-restaurant_type on:O june:B-timeRange the:I-timeRange 15th:I-timeRange ,:O 3:B-party_size_number guests:O "," BookRestaurant
",1
5996,Can:O you:O play:O an:O ep:B-music_item from:O the:O year:O 1958:B-year ?:O ," PlayMusic
",3
5825,Book:O a:O reservation:O for:O a:O popular:B-sort bakery:B-restaurant_type in:O Patetown:B-city ," BookRestaurant
",1
6951,"book:O a:O table:O for:O 10:B-party_size_number at:O The:B-restaurant_name Dome,:I-restaurant_name Edinburgh:I-restaurant_name "," BookRestaurant
",1
4312,I:O need:O seats:O for:O five:B-party_size_number at:O a:O place:O five:B-timeRange and:I-timeRange a:I-timeRange half:I-timeRange months:I-timeRange from:I-timeRange now:I-timeRange ," BookRestaurant
",1
7937,add:O come:B-entity_name on:I-entity_name a:I-entity_name cone:I-entity_name to:O Power:B-playlist Walk:I-playlist playlist:O ," AddToPlaylist
",0
8935,Put:O this:O track:B-music_item from:O The:B-artist Edge:I-artist on:O my:B-playlist_owner funk:B-playlist soul:I-playlist disco:I-playlist playlist:O ," AddToPlaylist
",0
6409,What:O time:O is:O The:B-movie_name Bride’s:I-movie_name Journey:I-movie_name playing:O at:O Star:B-location_name Theatres:I-location_name ?:O ," SearchScreeningEvent
",6
3344,Play:O the:B-album red:I-album room:I-album sessions:I-album from:O chris:B-artist cunningham:I-artist ," PlayMusic
",3
8758,What:O is:O the:O movie:O schedule:B-object_type for:O Train:B-movie_name ," SearchScreeningEvent
",6
4515,Get:O me:O a:O table:O for:O one:B-party_size_number at:O a:O popular:B-sort brasserie:B-restaurant_type ," BookRestaurant
",1
1929,Play:O some:O nineties:B-year music:O on:O Pandora:B-service ," PlayMusic
",3
6076,Rate:O this:B-object_select textbook:B-object_type a:O zero:B-rating_value ," RateBook
",4
7674,rate:O tune:B-music_item to:O my:B-playlist_owner natalie:B-artist macmaster:I-artist viajes:B-playlist ," AddToPlaylist
",0
8859,I:O rate:O the:O book:B-object_type Rusty:B-object_name String:I-object_name Quartet:I-object_name a:O 4:B-rating_value ," RateBook
",4
4898,Find:O a:O photograph:B-object_type called:O The:B-object_name Dickinsonian:I-object_name .:O ," SearchCreativeWork
",5
8585,Will:O it:O be:O rainy:B-condition_description at:O 8:B-timeRange in:O Dans:B-geographic_poi Mountain:I-geographic_poi State:I-geographic_poi Park:I-geographic_poi ," GetWeather
",2
8788,where:O is:O Ennarukil:B-movie_name Nee:I-movie_name Irunthal:I-movie_name playing:O ," SearchScreeningEvent
",6
4226,I:O need:O a:O book:B-object_type called:O Student:B-object_name Demonstration:I-object_name Time:I-object_name ," SearchCreativeWork
",5
7409,Can:O I:O go:O see:O Cash:B-movie_name and:I-movie_name Curry:I-movie_name at:O a:O movie:B-object_location_type theatre:I-object_location_type ?:O ," SearchScreeningEvent
",6
7779,Need:O a:O booking:O for:O 6:B-party_size_number in:O OK:B-state for:O the:O city:O of:O Boonton:B-city ," BookRestaurant
",1
7699,Where:O is:O the:O closest:B-spatial_relation cinema:B-object_location_type playing:O Soapsuds:B-movie_name and:I-movie_name Sapheads:I-movie_name ," SearchScreeningEvent
",6
5476,Can:O i:O see:O the:O Boat:B-object_name People:I-object_name ?:O ," SearchCreativeWork
",5
739,I:O want:O to:O hear:O Richard:B-artist Falomir:I-artist 's:O best:B-sort song:B-music_item on:O Pandora:B-service ," PlayMusic
",3
5098,I:O am:O giving:O this:O current:B-object_select novel:B-object_type 4:B-rating_value out:O of:O 6:B-best_rating stars:B-rating_unit ," RateBook
",4
6747,Give:O this:B-object_select chronicle:B-object_part_of_series_type a:O 4:B-rating_value ," RateBook
",4
6847,play:O Andy:B-artist White:I-artist ," PlayMusic
",3
6725,Play:O something:O by:O Daisy:B-artist Voisin:I-artist on:O google:B-service music:I-service ," PlayMusic
",3
6711,I:O give:O a:O rating:O of:O four:B-rating_value to:O this:B-object_select textbook:B-object_type .:O ," RateBook
",4
8639,I'm:O trying:O to:O find:O The:B-object_name Final:I-object_name Solution:I-object_name video:B-object_type game:I-object_type .:O ," SearchCreativeWork
",5
2053,What:O is:O the:O weather:O in:O Pendleton:B-city Center:I-city ," GetWeather
",2
8105,Look:O for:O the:O Kiss:B-object_name the:I-object_name Girls:I-object_name game:B-object_type ," SearchCreativeWork
",5
2835,Find:O the:O movie:B-object_type schedule:I-object_type for:O animated:B-movie_type movies:I-movie_type in:B-spatial_relation the:I-spatial_relation neighborhood:I-spatial_relation .:O ," SearchScreeningEvent
",6
8475,Give:O A:B-object_name Kentucky:I-object_name Cardinal:I-object_name four:B-rating_value points:B-rating_unit ," RateBook
",4
1743,Book:O a:O gastropub:B-restaurant_type that:O has:O balinese:B-cuisine food:O in:B-timeRange twenty:I-timeRange hours:I-timeRange in:O Comunas:B-city for:O my:B-party_size_description nephew:I-party_size_description and:I-party_size_description I:I-party_size_description ," BookRestaurant
",1
2428,What:O is:O the:O movie:B-object_type times:I-object_type ," SearchScreeningEvent
",6
1675,Play:O artist:O stu:B-artist davis:I-artist from:O the:O album:B-music_item Dub:B-album Chamber:I-album 3:I-album on:O Netflix:B-service ," PlayMusic
",3
8362,Find:O the:O schedule:B-object_type for:O Central:B-movie_name Airport:I-movie_name at:O the:O closest:B-spatial_relation movie:B-object_location_type theatre:I-object_location_type .:O ," SearchScreeningEvent
",6
7726,find:O a:O television:B-object_type show:I-object_type called:O Sensation:B-object_name Comics:I-object_name ," SearchCreativeWork
",5
6303,I:O give:O The:B-object_name Cat:I-object_name and:I-object_name the:I-object_name King:I-object_name 2:B-rating_value stars:B-rating_unit .:O ," RateBook
",4
4878,Show:O me:O the:O show:B-object_type Live:B-object_name at:I-object_name the:I-object_name Fillmore:I-object_name East:I-object_name ," SearchCreativeWork
",5
3573,"Give:O The:B-object_name Frog:I-object_name Prince,:I-object_name Continued:I-object_name 2:B-rating_value points:B-rating_unit out:O of:O 6:B-best_rating .:O "," RateBook
",4
2528,Play:O any:O music:O on:O Spotify:B-service ," PlayMusic
",3
5210,Book:O an:O outdoor:B-facility restaurant:B-restaurant_type in:O MD:B-state at:O 11:B-timeRange pm:I-timeRange for:O 8:B-party_size_number .:O ," BookRestaurant
",1
3193,book:O John:B-restaurant_name Pearson:I-restaurant_name Soda:I-restaurant_name Works:I-restaurant_name restaurant:B-restaurant_type on:O 7/27/2036:B-timeRange ," BookRestaurant
",1
994,Show:O me:O a:O picture:B-object_type called:O Heart:B-object_name Like:I-object_name a:I-object_name Hurricane:I-object_name ," SearchCreativeWork
",5
9121,add:O maschi:B-entity_name e:I-entity_name altri:I-entity_name to:O my:B-playlist_owner this:B-playlist is:I-playlist john:I-playlist williams:I-playlist ," AddToPlaylist
",0
4461,add:O joan:B-artist wasser:I-artist to:O running:B-playlist playlist:O ," AddToPlaylist
",0
3601,Where:O is:O the:O nearest:B-spatial_relation movie:B-object_location_type house:I-object_location_type that:O is:O playing:O Sirivantha:B-movie_name ," SearchScreeningEvent
",6
3979,I:O would:O like:O to:O rate:O the:O book:B-object_type The:B-object_name Three:I-object_name Impostors:I-object_name 2:B-rating_value to:O 6:B-best_rating stars:B-rating_unit .:O ," RateBook
",4
916,"Check:O the:O forecast:O for:O the:O current:B-current_location spot:I-current_location in:O the:O future:O Oct.:B-timeRange 19,:I-timeRange 2037:I-timeRange .:O "," GetWeather
",2
2643,rate:O Opération:B-object_name Sweet:I-object_name Tooth:I-object_name 2:B-rating_value points:B-rating_unit ," RateBook
",4
6963,Add:O song:B-music_item to:O orgánica:B-playlist ," AddToPlaylist
",0
3324,Add:O name:O Me:B-entity_name &:I-entity_name the:I-entity_name Rhythm:I-entity_name to:O my:B-playlist_owner chill:B-playlist out:I-playlist music:I-playlist ," AddToPlaylist
",0
1117,painting:B-object_type of:O Live:B-object_name from:I-object_name the:I-object_name El:I-object_name Rey:I-object_name Theatre:I-object_name ," SearchCreativeWork
",5
696,"will:O it:O rain:B-condition_description on:O Jan.:B-timeRange 18th,:I-timeRange 2029:I-timeRange in:O Kanopolis:B-city Arkansas:B-state "," GetWeather
",2
108,Rate:O this:B-object_select essay:B-object_type 4:B-rating_value out:O of:O 6:B-best_rating stars:B-rating_unit ," RateBook
",4
6827,Give:O A:B-object_name Human:I-object_name Being:I-object_name Died:I-object_name That:I-object_name Night:I-object_name 3:B-rating_value stars:B-rating_unit ," RateBook
",4
